Ses.	Dept. & Num.	Type	Sec.	Units	Code	Instructor	Day/Time	Location	Course Title
I	STATS 8	LEC	A	4.0	37130	Armstrong	 	@ @	INTRO TO BIO STATS (On-Line)
I	MGMT 1	LEC	A	4.0	38000	Staff TBA	 	@ @	INTRO BUSINESS MGMT (On-Line)
I	MGMT 30A	LEC	A	4.0	38031	Staff TBA	 	@ @	PRNCPLS OF ACCTG I (On-Line)
I	CHEM 1A	LEC	A	4.0	40010	Staff TBA	MWF 11:00AM-12:50PM	SSH 100	GENERAL CHEMISTRY
I	CHEM 1C	LEC	A	4.0	40030	Staff TBA	TuTh 10:00AM-11:20AM	ON LINE	GENERAL CHEMISTRY (On-Line)
I	CHEM 51A	LEC	A	4.0	40130	Staff TBA	MWF 9:00AM-10:50AM	SSL 228	ORGANIC CHEMISTRY
I	CHEM 51B	LEC	A	4.0	40140	Staff TBA	MWF 9:00AM-10:50AM	ELH 100	ORGANIC CHEMISTRY
I	EARTHSS 1	LEC	A	4.0	42010	Staff TBA	TuTh 9:00AM-11:50AM	ON LINE	INTRO TO ESS (On-Line)
I	MATH 1A	LEC	A	4.0	44010	Lehman	MWF 10:00AM-11:50AM	ON LINE	PRE-CALCULUS I (On-Line)
I	MATH 1B	LEC	A	4.0	44020	Lehman	MWF 12:00PM- 1:50PM	ON LINE	PRE-CALCULUS II (On-Line)
I	MATH 2A	LEC	A	4.0	44040	Huber	MWF 9:00AM-10:50AM	ON LINE	CALCULUS I (On-Line)
I	MATH 2B	LEC	A	4.0	44060	Huber	MWF 12:00PM- 1:50PM	ON LINE	CALCULUS II (On-Line)
I	MATH 2D	LEC	A	4.0	44080	Luna	MWF 9:00AM-10:50AM	ON LINE	MULTIVAR CALCULUS I (On-Line)
I	MATH 3A	LEC	A	4.0	44110	Gao	MWF 12:00PM- 1:50PM	ON LINE	INTRO LINEAR ALGBRA (On-Line)
I	MATH 3D	LEC	A	4.0	44130	Li	MWF 3:00PM- 4:50PM	ON LINE	ELEM DIFF EQUATIONS (On-Line)
I	MATH 5A	LEC	A	4.0	44150	Simonson	MWF 9:00AM-10:50AM	ON LINE	CALCULUS LIFE SCI I (On-Line)
I	MATH 5B	LEC	A	4.0	44170	Simonson	MWF 12:00PM- 1:50PM	ON LINE	CALC LIFE SCI II (On-Line)
I	MATH 9	LEC	A	4.0	44190	Davis	MWF 9:00AM-10:50AM	ON LINE	INTRO PROG NUM ANLY (On-Line)
I	PHYSICS 3A	LEC	A	4.0	47010	Staff TBA	M-TH 11:00AM-12:20PM	PSLH 100	BASIC PHYSICS I
I	PHYSICS 3B	LEC	A	4.0	47020	Staff TBA	M-TH 9:30AM-10:50AM	PCB 1100	BASIC PHYSICS II
I	PHYSICS 7C	LEC	A	4.0	47080	Staff TBA	MWF 1:00PM- 2:50PM	ON LINE	CLASSICAL PHYSICS (On-Line)
I	PHYSICS 7E	LEC	A	4.0	47120	Staff TBA	MWF 8:00AM- 9:50AM	ON LINE	CLASSICAL PHYSICS (On-Line)
I	PHYSICS 20A	LEC	A	4.0	47130	Staff TBA	MTW 9:00AM-10:50AM	RH 101	INTRO TO ASTRONOMY
I	SOCECOL 10	LEC	A	4.0	50010	Lynch	 	@ @	RESEARCH DESIGN (On-Line)
I	SOCECOL 13	LEC	A	4.0	50030	Dent	 	@ @	STAT ANALYSIS IN SE (On-Line)
I	CRM/LAW C10	LEC	A	4.0	52020	Dalton	 	@ @	FND CRM, LAW & SOC (On-Line)
I	PSCI 9	LEC	A	4.0	54010	Hagedorn	TuTh 9:00AM-11:50AM	ON LINE	INTRO TO PSYCHOLOGY (On-Line)
I	PSCI 11A	LEC	A	4.0	54020	Berg	MWF 11:00AM-12:50PM	SSL 140	PSYCH FUNDAMENTALS
I	PSCI 11B	LEC	A	4.0	54030	Guney	 	@ @	PSYCH FUNDAMENTALS (On-Line)
I	PSCI 11C	LEC	A	4.0	54050	Rinehart	 	@ @	PSYCH FUNDAMENTALS (On-Line)
I	UPPP 5	LEC	A	4.0	55030	Bah	 	@ @	INTRO PLAN & POLICY (On-Line)
I	ANTHRO 2A	LEC	A	4.0	60010	Srigyan	MW 1:00PM- 3:50PM	ON LINE	INTR SOCIOCULT ANTH (On-Line)
I	ANTHRO 10A	LEC	A	4.0	60040	Huffman	 	@ @	PROBABILITY & STATS (On-Line)
I	ANTHRO 25A	LEC	A	4.0	60080	Fortun	 	@ @	ENVIRON INJUSTICE (On-Line)
I	ANTHRO 30A	LEC	A	4.0	60090	Rodriguez	TuTh 9:00AM-11:50AM	SSPA 1170	GLOB ISS ANTH PERSP
I	ANTHRO 41A	LEC	A	4.0	60100	Darian-Smith	 	@ @	GLOBAL CULTURES&SOC (On-Line)
I	CHC/LAT 64	LEC	A	4.0	61020	DeSipio	 	@ @	INTRO RACE&ETHNICTY (On-Line)
I	COGS 7A	LEC	A	4.0	61510	Hagedorn	TuTh 9:00AM-11:50AM	ON LINE	INTRO TO PSYCHOLOGY (On-Line)
I	COGS 9A	LEC	A	4.0	61520	Berg	MWF 11:00AM-12:50PM	SSL 140	PSYCH FUNDAMENTALS
I	COGS 9B	LEC	A	4.0	61530	Guney	 	@ @	PSYCH FUNDAMENTALS (On-Line)
I	COGS 9C	LEC	A	4.0	61550	Rinehart	 	@ @	PSYCH FUNDAMENTALS (On-Line)
I	COGS 14P	LEC	A	4.0	61570	Dave	TuTh 9:00AM-11:50AM	ALP 2100	SCIENTIFIC PYTHON
I	COGS 60N	LEC	A	4.0	61590	Brewer	 	@ @	NEUROBIO COGNITION (On-Line)
I	COGS 78A	LEC	A	4.0	61600	Carian	 	@ @	SELF-IDENT &SOCIETY (On-Line)
I	ECON 12	LEC	A	4.0	62010	Richardson	 	@ @	FEDERAL RESERVE
I	ECON 13	LEC	A	4.0	62020	Milani	 	@ @	GLOBAL ECONOMY (On-Line)
